Engine_Size,Mileage,Price,Age,Fuel_Type_Electric,Fuel_Type_Hybrid,Fuel_Type_Petrol,Transmission_Manual,Transmission_Semi-Automatic
4.1,138965,9720,14,False,True,False,False,True
4.4,251894,6762,19,False,False,True,False,False
2.8,174551,5208,19,False,False,False,False,True
3.0,260151,6696,14,False,False,True,False,False
2.8,253372,3632,19,False,False,True,True,False
1.9,99563,8008,15,False,True,False,True,False
3.9,267949,10341,11,True,False,False,False,False
4.6,79663,10106,15,False,False,False,True,False
3.5,85640,13287,12,True,False,False,False,False
4.4,1937,11261,24,False,True,False,False,False
3.2,253316,7933,11,False,False,True,False,False
3.2,203452,5330,18,False,False,False,False,True
4.2,181600,13268,3,True,False,False,True,False
2.9,296864,2000,23,False,False,True,True,False
1.4,262641,5447,11,False,True,False,False,True
4.7,222000,14760,2,True,False,False,False,False
4.6,98002,10039,19,False,False,True,False,False
3.4,131933,5861,25,False,True,False,True,False
4.6,287045,3259,24,False,False,False,True,False
2.5,215987,4680,17,False,False,True,False,True
2.8,201403,5571,16,False,False,False,True,False
3.9,263073,9038,4,False,False,True,True,False
4.4,91956,12960,4,False,False,False,False,True
1.3,197902,8741,4,False,True,False,True,False
1.0,107474,6250,19,False,False,False,False,False
1.1,178039,6439,14,False,False,False,False,False
4.0,84645,12607,16,True,False,False,False,False
4.1,118504,12829,5,False,True,False,False,True
2.7,217224,5155,16,False,False,True,True,False
2.6,118041,6439,23,False,False,True,False,False
4.3,186962,10660,5,False,False,False,False,True
1.3,78961,12720,2,True,False,False,False,True
1.0,296156,3176,15,False,True,False,True,False
2.0,232074,8658,6,False,False,True,False,False
2.3,38542,7929,24,True,False,False,True,False
2.9,295058,5598,15,False,False,False,False,False
2.2,262285,5954,12,False,True,False,True,False
3.9,225838,7883,17,True,False,False,False,True
3.0,230795,11884,2,False,True,False,False,False
2.5,94729,7105,17,False,False,True,True,False
3.1,282199,9656,3,False,False,True,False,False
2.6,282423,4351,19,False,False,False,False,False
4.0,191859,5462,21,False,False,False,True,False
2.2,256459,4870,21,False,True,False,False,False
2.1,74107,13017,4,True,False,False,False,True
3.9,230974,9080,6,False,False,True,True,False
1.7,56150,9477,9,False,False,True,True,False
4.7,256100,6678,15,False,False,False,False,True
2.7,9512,10909,19,False,True,False,False,False
4.8,80241,12095,14,False,False,True,False,False
4.7,150713,12085,4,False,False,False,False,True
1.7,207019,9059,7,True,False,False,False,True
3.2,163039,10939,2,False,False,True,False,True
2.0,145101,3197,25,False,False,False,True,False
1.4,278559,4728,9,False,False,True,False,True
4.2,269154,9516,8,False,False,False,False,False
2.3,62065,8158,15,False,False,True,True,False
1.9,52679,11846,2,False,False,False,True,False
1.0,177766,5744,11,False,False,True,True,False
1.6,158154,6636,18,True,False,False,True,False
1.3,52051,14158,4,True,False,False,False,False
1.5,117049,10159,2,False,False,False,True,False
1.8,271405,3971,25,True,False,False,False,False
2.6,260006,5499,15,False,True,False,False,True
1.7,234785,4704,13,False,False,True,True,False
1.6,222076,7458,16,True,False,False,False,False
1.8,194835,2603,23,False,False,True,True,False
2.0,145970,8580,12,False,False,False,False,False
1.4,30785,10684,14,False,True,False,False,False
3.7,57196,11156,10,False,False,False,False,True
4.0,50680,12786,6,False,False,False,False,True
4.7,230052,4498,24,False,False,False,False,True
4.2,273193,8536,6,False,False,True,True,False
4.4,169451,7010,22,False,True,False,False,True
2.2,286174,10076,5,True,False,False,False,False
4.9,242712,5345,21,False,False,False,True,False
3.4,227371,9152,11,True,False,False,True,False
1.7,79442,4811,23,False,False,False,True,False
3.2,29885,9702,20,False,False,True,False,False
4.3,261478,5570,17,False,False,False,False,True
1.2,170847,6383,15,False,False,True,False,False
4.1,87221,8755,24,True,False,False,False,True
2.9,217980,6840,11,False,False,True,True,False
4.1,71288,13274,15,True,False,False,False,False
4.5,91092,11578,9,False,False,False,True,False
4.4,24913,14001,5,False,False,True,False,True
4.2,155444,6191,25,False,True,False,False,True
2.5,171683,9366,11,True,False,False,False,True
4.8,295428,8991,10,False,False,False,False,False
3.9,207380,8352,15,False,False,True,False,False
1.5,89226,10915,13,True,False,False,False,False
4.6,79217,8415,24,False,True,False,True,False
3.3,297971,5940,15,False,False,False,False,False
3.5,178950,7321,14,False,False,False,False,True
3.4,148880,13122,8,True,False,False,False,False
1.7,23936,9221,12,False,False,True,False,True
2.1,68076,7438,23,True,False,False,True,False
2.9,144743,10105,10,False,False,False,False,False
4.4,90279,10894,11,False,False,False,False,True
2.5,56429,10871,7,False,False,False,False,True
2.9,1197,12676,11,False,False,False,False,False
1.9,200177,9796,4,False,False,True,False,False
3.0,5679,13586,3,False,False,False,True,False
3.3,14586,11408,14,False,True,False,True,False
3.6,202216,4955,24,False,True,False,False,True
4.8,249673,4506,23,False,False,True,True,False
1.7,39156,8316,14,False,False,False,True,False
4.5,68014,12239,15,True,False,False,False,True
2.4,126868,6362,17,False,False,True,True,False
3.0,258632,6927,15,True,False,False,True,False
4.3,201170,11676,4,False,True,False,False,True
2.9,13569,13428,6,False,True,False,True,False
2.1,191301,8373,5,False,False,False,False,True
4.4,169424,5711,23,False,False,True,False,True
2.9,63026,8739,15,False,False,True,True,False
4.8,145630,8287,24,True,False,False,False,True
3.7,44024,9319,22,False,False,False,False,False
1.2,122902,11441,3,True,False,False,True,False
4.0,92692,11846,13,True,False,False,False,True
2.9,22360,14052,5,False,False,True,False,False
3.4,53596,11828,7,False,False,False,True,False
3.6,45737,8785,25,True,False,False,False,True
3.0,98160,13636,5,False,True,False,False,False
4.0,253702,8425,7,False,False,True,True,False
1.5,94715,6505,19,False,True,False,False,True
1.4,1841,6963,20,False,False,False,False,True
1.6,109050,9819,4,False,False,False,False,True
4.4,236894,7162,17,False,True,False,False,True
4.4,256691,11666,9,True,False,False,False,False
1.6,235768,3784,19,False,True,False,False,True
4.4,88089,8638,22,False,True,False,True,False
3.8,160230,10295,18,True,False,False,False,False
1.1,233776,2000,25,False,False,False,True,False
1.3,117006,8559,10,False,True,False,False,True
4.7,295379,4392,20,False,False,False,False,True
2.5,299406,7311,6,False,True,False,True,False
1.4,182197,5156,14,False,False,True,False,True
1.4,235687,7286,10,True,False,False,False,True
1.6,293339,4833,20,True,False,False,False,False
3.5,79861,8402,17,False,False,False,True,False
1.9,288000,6240,5,False,False,True,False,True
1.6,295898,7882,3,False,False,False,False,False
2.5,239287,4314,20,False,True,False,False,True
4.4,7588,14648,9,False,False,True,False,False
3.4,152117,6557,23,False,False,False,False,False
4.4,195296,10294,6,False,False,True,True,False
4.4,191716,7965,19,False,False,False,False,False
3.6,230409,3091,25,False,False,True,True,False
1.1,106397,8772,11,False,False,False,False,False
3.7,295514,5989,18,True,False,False,True,False
3.1,232603,5347,24,False,True,False,False,False
2.5,18150,6237,25,False,False,False,True,False
1.8,222084,2958,25,False,False,True,False,False
3.7,59160,11416,9,False,False,True,True,False
2.3,73775,9724,9,False,False,True,False,True
2.4,89733,10305,18,True,False,False,False,False
2.6,11401,7071,23,False,False,True,False,True
4.4,233465,9530,6,False,False,False,False,True
4.3,240885,8382,9,False,False,True,False,True
3.5,25049,10899,19,True,False,False,False,True
2.0,110430,5791,22,False,True,False,False,True
3.7,205909,11081,7,True,False,False,False,True
1.4,161912,6561,14,False,True,False,False,True
3.6,54815,9703,23,False,True,False,False,False
3.3,128619,12527,6,True,False,False,True,False
4.0,121403,12371,6,False,True,False,True,False
4.2,253093,10938,6,True,False,False,False,True
4.8,97890,13542,3,False,False,True,False,True
1.2,157466,6950,9,False,False,False,True,False
3.6,168226,5535,21,False,False,True,False,True
1.2,275586,3988,16,False,False,True,False,False
1.9,50573,11488,10,True,False,False,True,False
2.6,219205,6115,19,True,False,False,True,False
2.7,1708,12665,17,True,False,False,False,False
3.6,244437,7911,13,False,False,True,False,False
2.1,134097,10318,9,True,False,False,True,False
1.1,98700,7226,15,False,True,False,True,False
1.6,78445,10531,7,False,True,False,True,False
3.6,93140,7137,24,False,True,False,False,True
3.0,288209,4635,19,False,False,False,False,False
4.4,282931,6541,16,False,True,False,False,True
3.0,242006,11659,2,False,True,False,False,False
4.6,272450,6051,19,False,True,False,True,False
4.4,54982,9500,23,False,False,True,False,False
1.2,53980,5120,22,False,False,False,False,True
1.6,84291,10714,6,False,True,False,False,True
3.1,264010,3519,23,False,True,False,False,True
1.7,54068,11718,5,False,True,False,False,True
4.4,253283,4034,23,False,False,True,True,False
1.1,1666,9666,15,False,False,True,False,False
2.8,128713,7825,25,True,False,False,False,False
2.9,155101,6597,21,False,False,False,False,False
3.1,153222,6235,23,False,False,False,False,False
3.0,140269,7494,21,True,False,False,False,True
4.6,48034,15839,3,False,False,False,False,False
1.7,197700,7446,18,True,False,False,False,False
1.3,130961,9780,5,False,True,False,True,False
1.5,204370,6212,16,True,False,False,False,True
1.9,103956,5420,20,False,False,False,False,True
3.0,86109,8577,21,True,False,False,True,False
1.7,264104,4817,14,False,True,False,True,False
2.1,1068,13378,6,False,False,True,False,False
3.1,202084,7858,21,True,False,False,False,False
4.5,78159,10636,13,False,False,True,False,True
2.7,188249,10135,13,True,False,False,False,False
3.6,252284,8954,4,False,False,False,False,True
4.8,120010,9799,14,False,False,False,True,False
4.8,77167,9456,18,False,False,True,False,True
3.0,226346,8873,4,False,False,False,False,True
4.1,35164,13196,11,False,False,False,False,False
4.3,147409,11951,10,True,False,False,True,False
3.6,292131,6657,9,False,False,False,True,False
1.6,285860,8282,9,True,False,False,False,False
2.3,112828,7643,20,True,False,False,True,False
3.5,225090,10998,2,False,True,False,False,True
2.5,235804,4783,22,True,False,False,True,False
4.7,18622,12527,18,True,False,False,True,False
1.8,38814,7423,24,True,False,False,False,True
2.3,64027,5419,24,False,False,False,True,False
2.7,155927,8581,12,False,True,False,True,False
3.5,181019,4979,25,False,True,False,False,True
3.8,91618,10267,11,False,False,False,False,True
2.6,234638,4207,21,False,True,False,False,True
4.4,213796,8524,19,False,True,False,False,False
4.5,242378,8152,17,True,False,False,False,True
3.4,68256,12634,10,True,False,False,True,False
4.9,4608,14507,13,True,False,False,True,False
4.7,262198,11256,11,True,False,False,False,False
3.7,203553,7928,11,False,False,True,False,True
1.4,252417,2551,18,False,False,True,True,False
3.9,42902,12641,15,False,True,False,False,False
4.8,116761,14564,5,True,False,False,True,False
2.7,181326,7673,10,False,False,False,True,False
4.1,286699,6866,17,True,False,False,True,False
3.8,149662,11306,12,False,True,False,False,False
4.7,213300,10234,6,False,False,True,False,True
2.0,125458,8090,10,False,False,False,True,False
2.5,61333,8673,14,False,False,True,True,False
3.8,103338,12033,16,True,False,False,False,False
1.9,44978,14300,6,True,False,False,False,False
2.5,119657,8306,23,True,False,False,False,False
2.2,106537,7069,22,True,False,False,True,False
2.8,228351,5832,20,True,False,False,True,False
1.0,156258,2974,25,False,True,False,False,True
3.6,233628,9627,3,False,False,False,True,False
2.9,238272,3234,25,False,True,False,False,True
2.0,280794,7384,2,False,False,False,True,False
2.6,14058,7918,20,False,False,False,False,True
3.3,274434,8311,7,False,True,False,False,True
3.2,60419,12091,10,False,False,False,False,False
5.0,98604,13427,4,False,False,True,False,True
1.6,133425,11431,2,False,False,True,False,False
4.2,271816,5063,21,False,True,False,True,False
2.9,247451,7750,6,False,False,True,False,True
4.7,85892,11282,11,False,False,True,False,True
3.1,252610,5947,19,True,False,False,False,True
1.3,282883,6742,5,False,True,False,True,False
2.7,109271,11614,5,False,True,False,False,True
2.0,119566,11608,7,False,True,False,False,False
3.0,54105,8717,16,False,False,False,True,False
2.4,103185,11436,5,False,True,False,True,False
1.8,227999,5340,15,False,True,False,True,False
1.1,141537,4869,25,False,True,False,False,False
2.8,250524,9989,3,False,False,False,False,False
1.7,163543,7629,13,False,False,True,False,False
2.7,283597,7428,4,False,False,True,True,False
3.6,79401,13911,4,False,False,True,False,False
3.4,125769,9084,18,True,False,False,True,False
4.1,67077,9558,16,False,False,False,True,False
2.3,76257,8974,18,True,False,False,True,False
1.2,220484,7390,15,True,False,False,False,False
4.7,155338,8693,15,False,False,True,False,True
3.1,135166,9796,19,True,False,False,False,False
2.4,22624,10247,16,False,False,True,False,False
3.2,106780,8264,23,False,True,False,False,False
2.3,40455,12690,8,True,False,False,False,True
1.1,261935,2061,18,False,False,False,False,True
2.2,164031,9519,10,True,False,False,True,False
4.8,108824,14623,7,False,True,False,False,False
4.3,67506,7349,24,False,False,True,False,True
1.5,198747,8025,12,False,True,False,False,False
1.3,189304,6313,21,True,False,False,False,False
3.1,171550,9469,6,False,False,False,False,True
4.8,49802,14703,14,True,False,False,False,False
4.9,32528,12149,19,True,False,False,True,False
3.3,252871,4442,23,False,False,False,False,False
3.6,37887,9942,15,False,False,False,False,True
1.5,243023,5139,22,True,False,False,False,False
5.0,125014,11399,14,False,False,True,False,False
2.0,225309,7193,18,True,False,False,False,False
1.5,19946,10801,13,True,False,False,False,True
1.5,34256,11714,9,True,False,False,False,True
2.1,48326,9333,18,True,False,False,True,False
3.9,22059,15458,7,False,True,False,False,False
3.1,82589,11848,9,False,False,True,False,False
3.5,254719,5005,20,False,True,False,True,False
2.8,22534,10049,13,False,False,False,True,False
3.3,105672,9986,16,True,False,False,False,True
3.5,184223,9815,12,True,False,False,True,False
3.4,66901,13261,13,True,False,False,False,False
2.8,277899,5542,11,False,False,True,False,True
4.5,93756,10724,15,False,True,False,True,False
3.8,159958,9700,20,True,False,False,False,False
2.7,130146,11697,5,False,False,True,False,False
3.4,184285,8914,8,False,False,True,False,True
1.1,221586,2068,24,False,True,False,True,False
2.1,40020,10399,20,True,False,False,False,False
3.3,201512,11969,8,True,False,False,False,False
1.3,180373,5992,11,False,False,False,False,True
4.7,114382,10712,11,False,False,True,False,True
1.9,211135,4177,22,False,False,True,False,False
2.0,118689,5826,18,False,False,True,False,True
3.4,149589,9608,8,False,False,False,True,False
1.4,84573,12408,3,True,False,False,True,False
1.8,149851,4102,21,False,False,False,False,True
2.4,122979,6140,23,False,False,True,False,False
1.6,180019,7499,7,False,False,False,True,False
4.7,107974,6940,24,False,False,False,False,True
2.2,17393,7852,22,False,True,False,False,True
2.6,74,8998,24,True,False,False,False,True
1.2,215776,8684,11,True,False,False,False,False
4.1,15423,15491,3,False,True,False,False,True
2.1,216808,6063,16,False,False,False,False,False
4.2,271492,6670,24,True,False,False,False,False
2.7,23058,14938,8,True,False,False,False,False
4.9,292193,9656,10,True,False,False,True,False
1.2,100045,9299,5,False,False,True,True,False
3.5,230823,9883,7,False,False,True,False,False
2.9,123389,13032,5,False,True,False,False,False
2.7,87168,12556,5,False,False,False,False,False
3.2,253949,7021,9,False,False,False,True,False
4.1,88202,6735,24,False,False,False,False,True
4.6,89735,10905,15,False,True,False,False,True
4.3,190674,9086,10,False,False,True,False,True
3.0,45399,8292,18,False,False,False,True,False
3.5,118075,9738,10,False,False,False,True,False
1.8,212962,10540,2,True,False,False,False,True
1.8,222734,2445,25,False,True,False,True,False
4.8,158249,9235,25,True,False,False,False,False
4.4,268020,5539,17,False,False,True,False,True
3.0,102552,11548,10,True,False,False,True,False
3.9,96421,10771,21,True,False,False,False,False
2.2,227142,9657,7,False,True,False,False,False
1.7,265079,2598,23,False,False,True,False,False
3.3,258462,4530,24,True,False,False,False,True
1.6,84889,8102,18,True,False,False,False,True
4.6,193427,13231,2,False,False,False,False,False
3.4,15353,15692,5,False,True,False,False,False
3.0,95078,13298,3,False,False,False,False,False
4.2,92303,8853,22,False,False,True,False,False
1.1,122843,6043,14,False,False,False,True,False
3.3,203140,6137,19,False,True,False,False,True
1.5,299007,7819,6,False,True,False,False,False
3.6,71037,7279,25,False,True,False,False,True
4.3,190312,9693,8,False,False,False,False,True
2.3,138463,6030,22,False,False,False,False,False
4.2,49206,11615,14,False,True,False,True,False
1.8,115364,8292,16,True,False,False,False,True
3.3,291239,9375,4,False,False,False,False,False
4.2,270079,2898,25,False,False,True,True,False
2.4,260513,5789,10,False,False,False,False,True
3.7,191330,8773,9,False,False,False,False,True
3.9,133300,13034,6,True,False,False,True,False
3.6,51251,13674,5,False,True,False,False,True
1.7,48231,11135,4,False,False,True,False,True
2.2,196832,9763,12,True,False,False,False,False
4.3,49540,14309,2,False,False,True,False,True
2.2,47950,13041,11,True,False,False,False,False
4.0,237177,7556,11,False,False,True,False,True
4.9,285572,6588,14,False,False,True,False,True
3.6,263823,7523,8,False,False,True,False,True
2.3,134572,11208,5,False,False,True,False,False
3.7,234754,10804,6,True,False,False,True,False
3.2,248880,10022,6,True,False,False,True,False
1.6,36425,7971,15,False,False,True,True,False
4.2,189692,6806,24,True,False,False,False,True
4.8,107723,9045,24,True,False,False,False,True
3.4,177464,10850,2,False,False,True,True,False
2.8,104757,8104,14,False,False,True,True,False
2.6,108462,13130,8,True,False,False,False,False
3.1,28342,15733,3,False,True,False,False,False
2.8,218978,9820,9,False,True,False,False,False
3.9,216924,11061,7,True,False,False,True,False
2.8,136710,10365,11,True,False,False,False,True
4.1,187046,4759,24,False,False,True,True,False
2.7,45510,9889,20,False,True,False,False,False
1.4,267644,2547,22,False,False,False,False,False
4.8,248863,6022,23,False,False,False,False,False
1.6,112224,11555,3,False,False,True,False,False
4.1,269110,7417,13,False,True,False,False,True
1.1,71600,8068,19,False,True,False,False,False
2.3,167084,11058,5,True,False,False,True,False
3.0,209783,9304,7,False,True,False,True,False
2.4,122782,7544,25,True,False,False,False,False
3.5,44918,14101,7,True,False,False,True,False
3.3,59350,10513,14,False,True,False,False,True
4.4,124854,9002,20,False,False,True,False,False
1.7,129658,4806,23,False,True,False,True,False
5.0,174286,12714,8,True,False,False,False,True
4.5,119948,10401,16,False,False,True,False,False
3.8,63543,6629,25,False,False,True,False,True
3.9,123959,7020,20,False,False,False,False,True
1.7,119413,10911,5,False,False,False,False,False
4.6,28405,12231,23,True,False,False,False,False
3.8,19071,12018,15,False,False,False,False,False
1.8,96482,9070,8,False,False,True,False,True
2.3,207427,8751,10,True,False,False,False,True
2.6,291400,4472,13,False,False,True,False,True
2.1,41573,13768,2,False,False,True,False,False
3.3,100141,8797,22,False,True,False,False,False
