Year,Engine_Size,Mileage,Fuel_Type,Transmission,Price
2005,3.6,157073,Petrol,Semi-Automatic,6058
2015,2.9,131766,Electric,Automatic,12364
2001,2.2,18630,Petrol,Manual,6227
2015,2.1,54522,Diesel,Automatic,11109
2013,1.4,231290,Electric,Semi-Automatic,6774
2000,3.7,166776,Electric,Manual,6464
2002,4.0,16302,Diesel,Manual,8373
2015,2.9,252824,Hybrid,Semi-Automatic,7443
2007,1.2,269614,Hybrid,Automatic,4507
2000,2.8,264697,Electric,Semi-Automatic,3606
2014,4.0,287926,Petrol,Manual,6541
2001,1.8,43196,Petrol,Automatic,6836
2001,4.5,279971,Diesel,Semi-Automatic,3300
2009,1.0,286745,Petrol,Manual,2065
2011,2.3,885,Electric,Semi-Automatic,11682
2013,3.5,93273,Hybrid,Semi-Automatic,10634
2004,3.7,110947,Diesel,Semi-Automatic,6781
2018,1.2,166808,Petrol,Manual,7363
2022,3.8,186035,Diesel,Automatic,12279
2005,1.0,68819,Hybrid,Semi-Automatic,6223
2018,3.7,157181,Petrol,Semi-Automatic,10056
2007,3.9,97350,Petrol,Semi-Automatic,8153
2016,3.5,271497,Diesel,Manual,6970
2013,4.3,225452,Electric,Semi-Automatic,9790
2010,3.8,51040,Petrol,Automatic,11379
2012,4.2,7544,Electric,Semi-Automatic,13749
2009,2.6,264411,Hybrid,Semi-Automatic,5111
2012,4.3,153919,Petrol,Manual,8921
2010,1.7,115344,Petrol,Manual,6493
2009,2.9,106781,Diesel,Semi-Automatic,7564
2011,1.0,279545,Petrol,Manual,2809
2020,1.7,11757,Petrol,Manual,11564
2014,2.4,230787,Petrol,Semi-Automatic,6084
2020,3.7,216478,Hybrid,Automatic,11970
2003,2.6,134567,Diesel,Semi-Automatic,4908
2006,4.5,162852,Electric,Manual,9142
2023,3.9,112480,Hybrid,Semi-Automatic,13650
2017,1.9,60780,Electric,Automatic,13384
2012,3.2,21520,Diesel,Automatic,11969
2017,2.1,199006,Diesel,Automatic,8819
2006,2.0,11585,Hybrid,Automatic,10168
2009,2.8,79962,Electric,Manual,10000
2014,3.9,95537,Electric,Automatic,13789
2021,4.3,229873,Diesel,Manual,10102
2006,1.3,195129,Hybrid,Manual,4297
2011,4.0,136926,Hybrid,Automatic,11161
2003,3.2,85005,Petrol,Semi-Automatic,6499
2017,2.7,172248,Electric,Automatic,11955
2017,4.3,179528,Petrol,Automatic,11409
2014,2.3,1752,Electric,Manual,12564
2008,3.2,25557,Electric,Manual,11188
2007,3.9,211162,Hybrid,Automatic,8376
2014,4.0,182364,Petrol,Automatic,10152
2010,1.6,112946,Petrol,Automatic,7941
2009,2.1,122067,Petrol,Automatic,7958
2008,3.5,296747,Electric,Semi-Automatic,6065
2018,2.8,23722,Petrol,Semi-Automatic,11825
2000,1.8,161487,Petrol,Manual,2670
2009,4.1,99562,Petrol,Automatic,10408
2018,1.9,107386,Electric,Manual,11252
2021,4.0,32991,Diesel,Automatic,15240
2017,1.7,156940,Diesel,Manual,7761
2007,2.2,87444,Diesel,Manual,6651
2009,1.4,232049,Petrol,Manual,3559
2009,1.2,114668,Hybrid,Automatic,8206
2017,4.8,297176,Electric,Semi-Automatic,10056
2011,4.1,138965,Hybrid,Semi-Automatic,9720
2006,4.4,251894,Petrol,Automatic,6762
2006,2.8,174551,Diesel,Semi-Automatic,5208
2011,3.0,260151,Petrol,Automatic,6696
2006,2.8,253372,Petrol,Manual,3632
2010,1.9,99563,Hybrid,Manual,8008
2014,3.9,267949,Electric,Automatic,10341
2010,4.6,79663,Diesel,Manual,10106
2013,3.5,85640,Electric,Automatic,13287
2001,4.4,1937,Hybrid,Automatic,11261
2014,3.2,253316,Petrol,Automatic,7933
2007,3.2,203452,Diesel,Semi-Automatic,5330
2022,4.2,181600,Electric,Manual,13268
2002,2.9,296864,Petrol,Manual,2000
2014,1.4,262641,Hybrid,Semi-Automatic,5447
2023,4.7,222000,Electric,Automatic,14760
2006,4.6,98002,Petrol,Automatic,10039
2000,3.4,131933,Hybrid,Manual,5861
2001,4.6,287045,Diesel,Manual,3259
2008,2.5,215987,Petrol,Semi-Automatic,4680
2009,2.8,201403,Diesel,Manual,5571
2021,3.9,263073,Petrol,Manual,9038
2021,4.4,91956,Diesel,Semi-Automatic,12960
2021,1.3,197902,Hybrid,Manual,8741
2006,1.0,107474,Diesel,Automatic,6250
2011,1.1,178039,Diesel,Automatic,6439
2009,4.0,84645,Electric,Automatic,12607
2020,4.1,118504,Hybrid,Semi-Automatic,12829
2009,2.7,217224,Petrol,Manual,5155
2002,2.6,118041,Petrol,Automatic,6439
2020,4.3,186962,Diesel,Semi-Automatic,10660
2023,1.3,78961,Electric,Semi-Automatic,12720
2010,1.0,296156,Hybrid,Manual,3176
2019,2.0,232074,Petrol,Automatic,8658
2001,2.3,38542,Electric,Manual,7929
2010,2.9,295058,Diesel,Automatic,5598
2013,2.2,262285,Hybrid,Manual,5954
2008,3.9,225838,Electric,Semi-Automatic,7883
2023,3.0,230795,Hybrid,Automatic,11884
2008,2.5,94729,Petrol,Manual,7105
2022,3.1,282199,Petrol,Automatic,9656
2006,2.6,282423,Diesel,Automatic,4351
2004,4.0,191859,Diesel,Manual,5462
2004,2.2,256459,Hybrid,Automatic,4870
2021,2.1,74107,Electric,Semi-Automatic,13017
2019,3.9,230974,Petrol,Manual,9080
2016,1.7,56150,Petrol,Manual,9477
2010,4.7,256100,Diesel,Semi-Automatic,6678
2006,2.7,9512,Hybrid,Automatic,10909
2011,4.8,80241,Petrol,Automatic,12095
2021,4.7,150713,Diesel,Semi-Automatic,12085
2018,1.7,207019,Electric,Semi-Automatic,9059
2023,3.2,163039,Petrol,Semi-Automatic,10939
2000,2.0,145101,Diesel,Manual,3197
2016,1.4,278559,Petrol,Semi-Automatic,4728
2017,4.2,269154,Diesel,Automatic,9516
2010,2.3,62065,Petrol,Manual,8158
2023,1.9,52679,Diesel,Manual,11846
2014,1.0,177766,Petrol,Manual,5744
2007,1.6,158154,Electric,Manual,6636
2021,1.3,52051,Electric,Automatic,14158
2023,1.5,117049,Diesel,Manual,10159
2000,1.8,271405,Electric,Automatic,3971
2010,2.6,260006,Hybrid,Semi-Automatic,5499
2012,1.7,234785,Petrol,Manual,4704
2009,1.6,222076,Electric,Automatic,7458
2002,1.8,194835,Petrol,Manual,2603
2013,2.0,145970,Diesel,Automatic,8580
2011,1.4,30785,Hybrid,Automatic,10684
2015,3.7,57196,Diesel,Semi-Automatic,11156
2019,4.0,50680,Diesel,Semi-Automatic,12786
2001,4.7,230052,Diesel,Semi-Automatic,4498
2019,4.2,273193,Petrol,Manual,8536
2003,4.4,169451,Hybrid,Semi-Automatic,7010
2020,2.2,286174,Electric,Automatic,10076
2004,4.9,242712,Diesel,Manual,5345
2014,3.4,227371,Electric,Manual,9152
2002,1.7,79442,Diesel,Manual,4811
2005,3.2,29885,Petrol,Automatic,9702
2008,4.3,261478,Diesel,Semi-Automatic,5570
2010,1.2,170847,Petrol,Automatic,6383
2001,4.1,87221,Electric,Semi-Automatic,8755
2014,2.9,217980,Petrol,Manual,6840
2010,4.1,71288,Electric,Automatic,13274
2016,4.5,91092,Diesel,Manual,11578
2020,4.4,24913,Petrol,Semi-Automatic,14001
2000,4.2,155444,Hybrid,Semi-Automatic,6191
2014,2.5,171683,Electric,Semi-Automatic,9366
2015,4.8,295428,Diesel,Automatic,8991
2010,3.9,207380,Petrol,Automatic,8352
2012,1.5,89226,Electric,Automatic,10915
2001,4.6,79217,Hybrid,Manual,8415
2010,3.3,297971,Diesel,Automatic,5940
2011,3.5,178950,Diesel,Semi-Automatic,7321
2017,3.4,148880,Electric,Automatic,13122
2013,1.7,23936,Petrol,Semi-Automatic,9221
2002,2.1,68076,Electric,Manual,7438
2015,2.9,144743,Diesel,Automatic,10105
2014,4.4,90279,Diesel,Semi-Automatic,10894
2018,2.5,56429,Diesel,Semi-Automatic,10871
2014,2.9,1197,Diesel,Automatic,12676
2021,1.9,200177,Petrol,Automatic,9796
2022,3.0,5679,Diesel,Manual,13586
2011,3.3,14586,Hybrid,Manual,11408
2001,3.6,202216,Hybrid,Semi-Automatic,4955
2002,4.8,249673,Petrol,Manual,4506
2011,1.7,39156,Diesel,Manual,8316
2010,4.5,68014,Electric,Semi-Automatic,12239
2008,2.4,126868,Petrol,Manual,6362
2010,3.0,258632,Electric,Manual,6927
2021,4.3,201170,Hybrid,Semi-Automatic,11676
2019,2.9,13569,Hybrid,Manual,13428
2020,2.1,191301,Diesel,Semi-Automatic,8373
2002,4.4,169424,Petrol,Semi-Automatic,5711
2010,2.9,63026,Petrol,Manual,8739
2001,4.8,145630,Electric,Semi-Automatic,8287
2003,3.7,44024,Diesel,Automatic,9319
2022,1.2,122902,Electric,Manual,11441
2012,4.0,92692,Electric,Semi-Automatic,11846
2020,2.9,22360,Petrol,Automatic,14052
2018,3.4,53596,Diesel,Manual,11828
2000,3.6,45737,Electric,Semi-Automatic,8785
2020,3.0,98160,Hybrid,Automatic,13636
2018,4.0,253702,Petrol,Manual,8425
2006,1.5,94715,Hybrid,Semi-Automatic,6505
2005,1.4,1841,Diesel,Semi-Automatic,6963
2021,1.6,109050,Diesel,Semi-Automatic,9819
2008,4.4,236894,Hybrid,Semi-Automatic,7162
2016,4.4,256691,Electric,Automatic,11666
2006,1.6,235768,Hybrid,Semi-Automatic,3784
2003,4.4,88089,Hybrid,Manual,8638
2007,3.8,160230,Electric,Automatic,10295
2000,1.1,233776,Diesel,Manual,2000
2015,1.3,117006,Hybrid,Semi-Automatic,8559
2005,4.7,295379,Diesel,Semi-Automatic,4392
2019,2.5,299406,Hybrid,Manual,7311
2011,1.4,182197,Petrol,Semi-Automatic,5156
2015,1.4,235687,Electric,Semi-Automatic,7286
2005,1.6,293339,Electric,Automatic,4833
2008,3.5,79861,Diesel,Manual,8402
2020,1.9,288000,Petrol,Semi-Automatic,6240
2022,1.6,295898,Diesel,Automatic,7882
2005,2.5,239287,Hybrid,Semi-Automatic,4314
2016,4.4,7588,Petrol,Automatic,14648
2002,3.4,152117,Diesel,Automatic,6557
2019,4.4,195296,Petrol,Manual,10294
2006,4.4,191716,Diesel,Automatic,7965
2000,3.6,230409,Petrol,Manual,3091
2014,1.1,106397,Diesel,Automatic,8772
2007,3.7,295514,Electric,Manual,5989
2001,3.1,232603,Hybrid,Automatic,5347
2000,2.5,18150,Diesel,Manual,6237
2000,1.8,222084,Petrol,Automatic,2958
2016,3.7,59160,Petrol,Manual,11416
2016,2.3,73775,Petrol,Semi-Automatic,9724
2007,2.4,89733,Electric,Automatic,10305
2002,2.6,11401,Petrol,Semi-Automatic,7071
2019,4.4,233465,Diesel,Semi-Automatic,9530
2016,4.3,240885,Petrol,Semi-Automatic,8382
2006,3.5,25049,Electric,Semi-Automatic,10899
2003,2.0,110430,Hybrid,Semi-Automatic,5791
2018,3.7,205909,Electric,Semi-Automatic,11081
2011,1.4,161912,Hybrid,Semi-Automatic,6561
2002,3.6,54815,Hybrid,Automatic,9703
2019,3.3,128619,Electric,Manual,12527
2019,4.0,121403,Hybrid,Manual,12371
2019,4.2,253093,Electric,Semi-Automatic,10938
2022,4.8,97890,Petrol,Semi-Automatic,13542
2016,1.2,157466,Diesel,Manual,6950
2004,3.6,168226,Petrol,Semi-Automatic,5535
2009,1.2,275586,Petrol,Automatic,3988
2015,1.9,50573,Electric,Manual,11488
2006,2.6,219205,Electric,Manual,6115
2008,2.7,1708,Electric,Automatic,12665
2012,3.6,244437,Petrol,Automatic,7911
2016,2.1,134097,Electric,Manual,10318
2010,1.1,98700,Hybrid,Manual,7226
2018,1.6,78445,Hybrid,Manual,10531
2001,3.6,93140,Hybrid,Semi-Automatic,7137
2006,3.0,288209,Diesel,Automatic,4635
2009,4.4,282931,Hybrid,Semi-Automatic,6541
2023,3.0,242006,Hybrid,Automatic,11659
2006,4.6,272450,Hybrid,Manual,6051
2002,4.4,54982,Petrol,Automatic,9500
2003,1.2,53980,Diesel,Semi-Automatic,5120
2019,1.6,84291,Hybrid,Semi-Automatic,10714
2002,3.1,264010,Hybrid,Semi-Automatic,3519
2020,1.7,54068,Hybrid,Semi-Automatic,11718
2002,4.4,253283,Petrol,Manual,4034
2010,1.1,1666,Petrol,Automatic,9666
2000,2.8,128713,Electric,Automatic,7825
2004,2.9,155101,Diesel,Automatic,6597
2002,3.1,153222,Diesel,Automatic,6235
2004,3.0,140269,Electric,Semi-Automatic,7494
2022,4.6,48034,Diesel,Automatic,15839
2007,1.7,197700,Electric,Automatic,7446
2020,1.3,130961,Hybrid,Manual,9780
2009,1.5,204370,Electric,Semi-Automatic,6212
2005,1.9,103956,Diesel,Semi-Automatic,5420
2004,3.0,86109,Electric,Manual,8577
2011,1.7,264104,Hybrid,Manual,4817
2019,2.1,1068,Petrol,Automatic,13378
2004,3.1,202084,Electric,Automatic,7858
2012,4.5,78159,Petrol,Semi-Automatic,10636
2012,2.7,188249,Electric,Automatic,10135
2021,3.6,252284,Diesel,Semi-Automatic,8954
2011,4.8,120010,Diesel,Manual,9799
2007,4.8,77167,Petrol,Semi-Automatic,9456
2021,3.0,226346,Diesel,Semi-Automatic,8873
2014,4.1,35164,Diesel,Automatic,13196
2015,4.3,147409,Electric,Manual,11951
2016,3.6,292131,Diesel,Manual,6657
2016,1.6,285860,Electric,Automatic,8282
2005,2.3,112828,Electric,Manual,7643
2023,3.5,225090,Hybrid,Semi-Automatic,10998
2003,2.5,235804,Electric,Manual,4783
2007,4.7,18622,Electric,Manual,12527
2001,1.8,38814,Electric,Semi-Automatic,7423
2001,2.3,64027,Diesel,Manual,5419
2013,2.7,155927,Hybrid,Manual,8581
2000,3.5,181019,Hybrid,Semi-Automatic,4979
2014,3.8,91618,Diesel,Semi-Automatic,10267
2004,2.6,234638,Hybrid,Semi-Automatic,4207
2006,4.4,213796,Hybrid,Automatic,8524
2008,4.5,242378,Electric,Semi-Automatic,8152
2015,3.4,68256,Electric,Manual,12634
2012,4.9,4608,Electric,Manual,14507
2014,4.7,262198,Electric,Automatic,11256
2014,3.7,203553,Petrol,Semi-Automatic,7928
2007,1.4,252417,Petrol,Manual,2551
2010,3.9,42902,Hybrid,Automatic,12641
2020,4.8,116761,Electric,Manual,14564
2015,2.7,181326,Diesel,Manual,7673
2008,4.1,286699,Electric,Manual,6866
2013,3.8,149662,Hybrid,Automatic,11306
2019,4.7,213300,Petrol,Semi-Automatic,10234
2015,2.0,125458,Diesel,Manual,8090
2011,2.5,61333,Petrol,Manual,8673
2009,3.8,103338,Electric,Automatic,12033
2019,1.9,44978,Electric,Automatic,14300
2002,2.5,119657,Electric,Automatic,8306
2003,2.2,106537,Electric,Manual,7069
2005,2.8,228351,Electric,Manual,5832
2000,1.0,156258,Hybrid,Semi-Automatic,2974
2022,3.6,233628,Diesel,Manual,9627
2000,2.9,238272,Hybrid,Semi-Automatic,3234
2023,2.0,280794,Diesel,Manual,7384
2005,2.6,14058,Diesel,Semi-Automatic,7918
2018,3.3,274434,Hybrid,Semi-Automatic,8311
2015,3.2,60419,Diesel,Automatic,12091
2021,5.0,98604,Petrol,Semi-Automatic,13427
2023,1.6,133425,Petrol,Automatic,11431
2004,4.2,271816,Hybrid,Manual,5063
2019,2.9,247451,Petrol,Semi-Automatic,7750
2014,4.7,85892,Petrol,Semi-Automatic,11282
2006,3.1,252610,Electric,Semi-Automatic,5947
2020,1.3,282883,Hybrid,Manual,6742
2020,2.7,109271,Hybrid,Semi-Automatic,11614
2018,2.0,119566,Hybrid,Automatic,11608
2009,3.0,54105,Diesel,Manual,8717
2020,2.4,103185,Hybrid,Manual,11436
2010,1.8,227999,Hybrid,Manual,5340
2000,1.1,141537,Hybrid,Automatic,4869
2022,2.8,250524,Diesel,Automatic,9989
2012,1.7,163543,Petrol,Automatic,7629
2021,2.7,283597,Petrol,Manual,7428
2021,3.6,79401,Petrol,Automatic,13911
2007,3.4,125769,Electric,Manual,9084
2009,4.1,67077,Diesel,Manual,9558
2007,2.3,76257,Electric,Manual,8974
2010,1.2,220484,Electric,Automatic,7390
2010,4.7,155338,Petrol,Semi-Automatic,8693
2006,3.1,135166,Electric,Automatic,9796
2009,2.4,22624,Petrol,Automatic,10247
2002,3.2,106780,Hybrid,Automatic,8264
2017,2.3,40455,Electric,Semi-Automatic,12690
2007,1.1,261935,Diesel,Semi-Automatic,2061
2015,2.2,164031,Electric,Manual,9519
2018,4.8,108824,Hybrid,Automatic,14623
2001,4.3,67506,Petrol,Semi-Automatic,7349
2013,1.5,198747,Hybrid,Automatic,8025
2004,1.3,189304,Electric,Automatic,6313
2019,3.1,171550,Diesel,Semi-Automatic,9469
2011,4.8,49802,Electric,Automatic,14703
2006,4.9,32528,Electric,Manual,12149
2002,3.3,252871,Diesel,Automatic,4442
2010,3.6,37887,Diesel,Semi-Automatic,9942
2003,1.5,243023,Electric,Automatic,5139
2011,5.0,125014,Petrol,Automatic,11399
2007,2.0,225309,Electric,Automatic,7193
2012,1.5,19946,Electric,Semi-Automatic,10801
2016,1.5,34256,Electric,Semi-Automatic,11714
2007,2.1,48326,Electric,Manual,9333
2018,3.9,22059,Hybrid,Automatic,15458
2016,3.1,82589,Petrol,Automatic,11848
2005,3.5,254719,Hybrid,Manual,5005
2012,2.8,22534,Diesel,Manual,10049
2009,3.3,105672,Electric,Semi-Automatic,9986
2013,3.5,184223,Electric,Manual,9815
2012,3.4,66901,Electric,Automatic,13261
2014,2.8,277899,Petrol,Semi-Automatic,5542
2010,4.5,93756,Hybrid,Manual,10724
2005,3.8,159958,Electric,Automatic,9700
2020,2.7,130146,Petrol,Automatic,11697
2017,3.4,184285,Petrol,Semi-Automatic,8914
2001,1.1,221586,Hybrid,Manual,2068
2005,2.1,40020,Electric,Automatic,10399
2017,3.3,201512,Electric,Automatic,11969
2014,1.3,180373,Diesel,Semi-Automatic,5992
2014,4.7,114382,Petrol,Semi-Automatic,10712
2003,1.9,211135,Petrol,Automatic,4177
2007,2.0,118689,Petrol,Semi-Automatic,5826
2017,3.4,149589,Diesel,Manual,9608
2022,1.4,84573,Electric,Manual,12408
2004,1.8,149851,Diesel,Semi-Automatic,4102
2002,2.4,122979,Petrol,Automatic,6140
2018,1.6,180019,Diesel,Manual,7499
2001,4.7,107974,Diesel,Semi-Automatic,6940
2003,2.2,17393,Hybrid,Semi-Automatic,7852
2001,2.6,74,Electric,Semi-Automatic,8998
2014,1.2,215776,Electric,Automatic,8684
2022,4.1,15423,Hybrid,Semi-Automatic,15491
2009,2.1,216808,Diesel,Automatic,6063
2001,4.2,271492,Electric,Automatic,6670
2017,2.7,23058,Electric,Automatic,14938
2015,4.9,292193,Electric,Manual,9656
2020,1.2,100045,Petrol,Manual,9299
2018,3.5,230823,Petrol,Automatic,9883
2020,2.9,123389,Hybrid,Automatic,13032
2020,2.7,87168,Diesel,Automatic,12556
2016,3.2,253949,Diesel,Manual,7021
2001,4.1,88202,Diesel,Semi-Automatic,6735
2010,4.6,89735,Hybrid,Semi-Automatic,10905
2015,4.3,190674,Petrol,Semi-Automatic,9086
2007,3.0,45399,Diesel,Manual,8292
2015,3.5,118075,Diesel,Manual,9738
2023,1.8,212962,Electric,Semi-Automatic,10540
2000,1.8,222734,Hybrid,Manual,2445
2000,4.8,158249,Electric,Automatic,9235
2008,4.4,268020,Petrol,Semi-Automatic,5539
2015,3.0,102552,Electric,Manual,11548
2004,3.9,96421,Electric,Automatic,10771
2018,2.2,227142,Hybrid,Automatic,9657
2002,1.7,265079,Petrol,Automatic,2598
2001,3.3,258462,Electric,Semi-Automatic,4530
2007,1.6,84889,Electric,Semi-Automatic,8102
2023,4.6,193427,Diesel,Automatic,13231
2020,3.4,15353,Hybrid,Automatic,15692
2022,3.0,95078,Diesel,Automatic,13298
2003,4.2,92303,Petrol,Automatic,8853
2011,1.1,122843,Diesel,Manual,6043
2006,3.3,203140,Hybrid,Semi-Automatic,6137
2019,1.5,299007,Hybrid,Automatic,7819
2000,3.6,71037,Hybrid,Semi-Automatic,7279
2017,4.3,190312,Diesel,Semi-Automatic,9693
2003,2.3,138463,Diesel,Automatic,6030
2011,4.2,49206,Hybrid,Manual,11615
2009,1.8,115364,Electric,Semi-Automatic,8292
2021,3.3,291239,Diesel,Automatic,9375
2000,4.2,270079,Petrol,Manual,2898
2015,2.4,260513,Diesel,Semi-Automatic,5789
2016,3.7,191330,Diesel,Semi-Automatic,8773
2019,3.9,133300,Electric,Manual,13034
2020,3.6,51251,Hybrid,Semi-Automatic,13674
2021,1.7,48231,Petrol,Semi-Automatic,11135
